condition_id,family,stage,strict_accuracy,valid_only_accuracy,balanced_accuracy,accuracy_minus_always_no,always_no_accuracy,always_yes_accuracy,balanced_accuracy_minus_chance,beats_always_no_strictly,binary_correct,binary_evaluable,binary_evaluable_coverage,binary_incorrect,completion_rate,completion_status,display_name,duplicate_exact_key_count,eligible_for_primary_ranking,expected_record_count,expected_records,f1_yes,false_negative_rate,false_positive_rate,fn,fp,generation,invalid_prediction_count,invalid_prediction_rate,is_complete,majority_class_accuracy,majority_class_label,missing_prediction_count,missing_prediction_rate,missing_records,negative_predictive_value,negative_stage_contrast_note,no_prediction_rate,no_rate_among_valid_predictions,precision_yes,prediction_no,prediction_unknown,prediction_yes,sensitivity,similar_minus_unrelated_balanced_accuracy,similar_minus_unrelated_strict_accuracy,similar_minus_unrelated_valid_only_accuracy,specificity,stage_record_counts.Round 1: True Tag,stage_record_counts.Round 2: Unrelated Tag,stage_record_counts.Round 3: Similar Tag,strict_accuracy_confidence_interval_95,strict_false_negative_or_unresolved_rate,strict_false_positive_or_unresolved_rate,strict_sensitivity,strict_specificity,tn,total,tp,truth_no,truth_yes,unique_exact_key_count,unique_stage_pmid_count,unknown_handling,unknown_prediction_count,unknown_prediction_rate,unresolved_prediction,unresolved_truth_no,unresolved_truth_yes,unresolved_with_valid_truth,valid_binary_evaluable_count,valid_only_accuracy_confidence_interval_95,valid_only_balanced_accuracy,valid_prediction_count,valid_prediction_coverage,variant,yes_prediction_rate,yes_rate_among_valid_predictions
baseline.older_pydantic_0.8B,baseline,Round 2: Unrelated Tag,0.902,0.902,,-0.09799999999999998,1.0,0.0,,False,902,1000,1.0,98,1.0,complete,Baseline 0.8B — older Pydantic,0,True,1000,3000,,,0.098,,98,older_pydantic,0,0.0,True,1.0,No,0,0.0,0,1.0,Negative values mean Similar Tag cases were harder than Unrelated Tag cases.,0.902,0.902,0.0,902,,98,,,-0.132,-0.132,0.902,1000,1000,1000,"[0.882005297700964, 0.9189179884766496]",,0.09799999999999998,,0.902,902,1000,,1000,,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,1000,"[0.882005297700964, 0.9189179884766496]",,1000,1.0,,0.098,0.098
baseline.older_pydantic_0.8B,baseline,Round 3: Similar Tag,0.77,0.77,,-0.22999999999999998,1.0,0.0,,False,770,1000,1.0,230,1.0,complete,Baseline 0.8B — older Pydantic,0,True,1000,3000,,,0.23,,230,older_pydantic,0,0.0,True,1.0,No,0,0.0,0,1.0,Negative values mean Similar Tag cases were harder than Unrelated Tag cases.,0.77,0.77,0.0,770,,230,,,-0.132,-0.132,0.77,1000,1000,1000,"[0.7429132441380307, 0.7950203062797695]",,0.22999999999999998,,0.77,770,1000,,1000,,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,1000,"[0.7429132441380307, 0.7950203062797695]",,1000,1.0,,0.23,0.23
baseline.robust_0.8B.no_manual,baseline,Round 1: True Tag,0.769,0.769,,0.769,0.0,1.0,,True,769,1000,1.0,231,1.0,complete,Baseline 0.8B — no manual,0,True,1000,3000,0.8694177501413227,0.231,,231,,robust_0.8B,0,0.0,True,1.0,Yes,0,0.0,0,0.0,Negative values mean Similar Tag cases were harder than Unrelated Tag cases.,0.231,0.231,1.0,231,,769,0.769,,-0.09300000000000008,-0.09300000000000008,,1000,1000,1000,"[0.7418776678486424, 0.7940635360861289]",0.23099999999999998,,0.769,,,1000,769,,1000,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,1000,"[0.7418776678486424, 0.7940635360861289]",,1000,1.0,,0.769,0.769
baseline.robust_0.8B.no_manual,baseline,Round 2: Unrelated Tag,0.912,0.912,,-0.08799999999999997,1.0,0.0,,False,912,1000,1.0,88,1.0,complete,Baseline 0.8B — no manual,0,True,1000,3000,,,0.088,,88,robust_0.8B,0,0.0,True,1.0,No,0,0.0,0,1.0,Negative values mean Similar Tag cases were harder than Unrelated Tag cases.,0.912,0.912,0.0,912,,88,,,-0.09300000000000008,-0.09300000000000008,0.912,1000,1000,1000,"[0.8928277489502235, 0.9280190020576792]",,0.08799999999999997,,0.912,912,1000,,1000,,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,1000,"[0.8928277489502235, 0.9280190020576792]",,1000,1.0,,0.088,0.088
baseline.robust_0.8B.no_manual,baseline,Round 3: Similar Tag,0.819,0.819,,-0.18100000000000005,1.0,0.0,,False,819,1000,1.0,181,1.0,complete,Baseline 0.8B — no manual,0,True,1000,3000,,,0.181,,181,robust_0.8B,0,0.0,True,1.0,No,0,0.0,0,1.0,Negative values mean Similar Tag cases were harder than Unrelated Tag cases.,0.819,0.819,0.0,819,,181,,,-0.09300000000000008,-0.09300000000000008,0.819,1000,1000,1000,"[0.7939304685301967, 0.841628059556019]",,0.18100000000000005,,0.819,819,1000,,1000,,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,1000,"[0.7939304685301967, 0.841628059556019]",,1000,1.0,,0.181,0.181
baseline.robust_0.8B.with_manual,baseline,Round 1: True Tag,0.646,0.646,,0.646,0.0,1.0,,True,646,1000,1.0,354,1.0,complete,Baseline 0.8B — with manual,0,True,1000,3000,0.7849331713244229,0.354,,354,,robust_0.8B,0,0.0,True,1.0,Yes,0,0.0,0,0.0,Negative values mean Similar Tag cases were harder than Unrelated Tag cases.,0.354,0.354,1.0,354,,646,0.646,,-0.09700000000000009,-0.09700000000000009,,1000,1000,1000,"[0.6158536169290485, 0.6750289695931695]",0.354,,0.646,,,1000,646,,1000,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,1000,"[0.6158536169290485, 0.6750289695931695]",,1000,1.0,,0.646,0.646
baseline.robust_0.8B.with_manual,baseline,Round 2: Unrelated Tag,0.928,0.928,,-0.07199999999999995,1.0,0.0,,False,928,1000,1.0,72,1.0,complete,Baseline 0.8B — with manual,0,True,1000,3000,,,0.072,,72,robust_0.8B,0,0.0,True,1.0,No,0,0.0,0,1.0,Negative values mean Similar Tag cases were harder than Unrelated Tag cases.,0.928,0.928,0.0,928,,72,,,-0.09700000000000009,-0.09700000000000009,0.928,1000,1000,1000,"[0.9102882164172793, 0.9424360783190856]",,0.07199999999999995,,0.928,928,1000,,1000,,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,1000,"[0.9102882164172793, 0.9424360783190856]",,1000,1.0,,0.072,0.072
baseline.robust_0.8B.with_manual,baseline,Round 3: Similar Tag,0.831,0.831,,-0.16900000000000004,1.0,0.0,,False,831,1000,1.0,169,1.0,complete,Baseline 0.8B — with manual,0,True,1000,3000,,,0.169,,169,robust_0.8B,0,0.0,True,1.0,No,0,0.0,0,1.0,Negative values mean Similar Tag cases were harder than Unrelated Tag cases.,0.831,0.831,0.0,831,,169,,,-0.09700000000000009,-0.09700000000000009,0.831,1000,1000,1000,"[0.806516311368376, 0.8529503745141864]",,0.16900000000000004,,0.831,831,1000,,1000,,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,1000,"[0.806516311368376, 0.8529503745141864]",,1000,1.0,,0.169,0.169
baseline.robust_2B.no_manual,baseline,Round 1: True Tag,0.837,0.837,,0.837,0.0,1.0,,True,837,1000,1.0,163,1.0,complete,Baseline 2B — no manual,0,True,1000,3000,0.9112683723462166,0.163,,163,,rejudge_2B,0,0.0,True,1.0,Yes,0,0.0,0,0.0,Negative values mean Similar Tag cases were harder than Unrelated Tag cases.,0.163,0.163,1.0,163,,837,0.837,,-0.119,-0.119,,1000,1000,1000,"[0.8128247624397997, 0.858596002340936]",0.16300000000000003,,0.837,,,1000,837,,1000,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,1000,"[0.8128247624397997, 0.858596002340936]",,1000,1.0,,0.837,0.837
baseline.robust_2B.no_manual,baseline,Round 2: Unrelated Tag,0.945,0.945,,-0.05500000000000005,1.0,0.0,,False,945,1000,1.0,55,1.0,complete,Baseline 2B — no manual,0,True,1000,3000,,,0.055,,55,rejudge_2B,0,0.0,True,1.0,No,0,0.0,0,1.0,Negative values mean Similar Tag cases were harder than Unrelated Tag cases.,0.945,0.945,0.0,945,,55,,,-0.119,-0.119,0.945,1000,1000,1000,"[0.9290916123226243, 0.9575025726252315]",,0.05500000000000005,,0.945,945,1000,,1000,,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,1000,"[0.9290916123226243, 0.9575025726252315]",,1000,1.0,,0.055,0.055
baseline.robust_2B.no_manual,baseline,Round 3: Similar Tag,0.826,0.826,,-0.17400000000000004,1.0,0.0,,False,826,1000,1.0,174,1.0,complete,Baseline 2B — no manual,0,True,1000,3000,,,0.174,,174,rejudge_2B,0,0.0,True,1.0,No,0,0.0,0,1.0,Negative values mean Similar Tag cases were harder than Unrelated Tag cases.,0.826,0.826,0.0,826,,174,,,-0.119,-0.119,0.826,1000,1000,1000,"[0.8012673037329014, 0.8482376497345165]",,0.17400000000000004,,0.826,826,1000,,1000,,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,1000,"[0.8012673037329014, 0.8482376497345165]",,1000,1.0,,0.174,0.174
baseline.robust_2B.with_manual,baseline,Round 1: True Tag,0.781,0.781,,0.781,0.0,1.0,,True,781,1000,1.0,219,1.0,complete,Baseline 2B — with manual,0,True,1000,3000,0.8770353733857383,0.219,,219,,rejudge_2B,0,0.0,True,1.0,Yes,0,0.0,0,0.0,Negative values mean Similar Tag cases were harder than Unrelated Tag cases.,0.219,0.219,1.0,219,,781,0.781,,-0.09300000000000008,-0.09300000000000008,,1000,1000,1000,"[0.7543184071059555, 0.8055309546251624]",0.21899999999999997,,0.781,,,1000,781,,1000,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,1000,"[0.7543184071059555, 0.8055309546251624]",,1000,1.0,,0.781,0.781
baseline.robust_2B.with_manual,baseline,Round 2: Unrelated Tag,0.931,0.931,,-0.06899999999999995,1.0,0.0,,False,931,1000,1.0,69,1.0,complete,Baseline 2B — with manual,0,True,1000,3000,,,0.069,,69,rejudge_2B,0,0.0,True,1.0,No,0,0.0,0,1.0,Negative values mean Similar Tag cases were harder than Unrelated Tag cases.,0.931,0.931,0.0,931,,69,,,-0.09300000000000008,-0.09300000000000008,0.931,1000,1000,1000,"[0.9135852797713628, 0.9451160544140889]",,0.06899999999999995,,0.931,931,1000,,1000,,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,1000,"[0.9135852797713628, 0.9451160544140889]",,1000,1.0,,0.069,0.069
baseline.robust_2B.with_manual,baseline,Round 3: Similar Tag,0.838,0.838,,-0.16200000000000003,1.0,0.0,,False,838,1000,1.0,162,1.0,complete,Baseline 2B — with manual,0,True,1000,3000,,,0.162,,162,rejudge_2B,0,0.0,True,1.0,No,0,0.0,0,1.0,Negative values mean Similar Tag cases were harder than Unrelated Tag cases.,0.838,0.838,0.0,838,,162,,,-0.09300000000000008,-0.09300000000000008,0.838,1000,1000,1000,"[0.8138772231121078, 0.8595358881516569]",,0.16200000000000003,,0.838,838,1000,,1000,,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,1000,"[0.8138772231121078, 0.8595358881516569]",,1000,1.0,,0.162,0.162
baseline.robust_4B.no_manual,baseline,Round 1: True Tag,0.947,0.947,,0.947,0.0,1.0,,True,947,1000,1.0,53,1.0,complete,Baseline 4B — no manual,0,True,1000,3000,0.9727786337955828,0.053,,53,,rejudge_4B,0,0.0,True,1.0,Yes,0,0.0,0,0.0,Negative values mean Similar Tag cases were harder than Unrelated Tag cases.,0.053,0.053,1.0,53,,947,0.947,,-0.14100000000000001,-0.14100000000000001,,1000,1000,1000,"[0.9313253831625082, 0.9592534947514054]",0.05300000000000005,,0.947,,,1000,947,,1000,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,1000,"[0.9313253831625082, 0.9592534947514054]",,1000,1.0,,0.947,0.947
baseline.robust_4B.no_manual,baseline,Round 2: Unrelated Tag,0.802,0.802,,-0.19799999999999995,1.0,0.0,,False,802,1000,1.0,198,1.0,complete,Baseline 4B — no manual,0,True,1000,3000,,,0.198,,198,rejudge_4B,0,0.0,True,1.0,No,0,0.0,0,1.0,Negative values mean Similar Tag cases were harder than Unrelated Tag cases.,0.802,0.802,0.0,802,,198,,,-0.14100000000000001,-0.14100000000000001,0.802,1000,1000,1000,"[0.776166200305855, 0.8255224375688698]",,0.19799999999999995,,0.802,802,1000,,1000,,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,1000,"[0.776166200305855, 0.8255224375688698]",,1000,1.0,,0.198,0.198
baseline.robust_4B.no_manual,baseline,Round 3: Similar Tag,0.661,0.661,,-0.33899999999999997,1.0,0.0,,False,661,1000,1.0,339,1.0,complete,Baseline 4B — no manual,0,True,1000,3000,,,0.339,,339,rejudge_4B,0,0.0,True,1.0,No,0,0.0,0,1.0,Negative values mean Similar Tag cases were harder than Unrelated Tag cases.,0.661,0.661,0.0,661,,339,,,-0.14100000000000001,-0.14100000000000001,0.661,1000,1000,1000,"[0.6310943749213436, 0.6896734088463077]",,0.33899999999999997,,0.661,661,1000,,1000,,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,1000,"[0.6310943749213436, 0.6896734088463077]",,1000,1.0,,0.339,0.339
baseline.robust_4B.with_manual,baseline,Round 1: True Tag,0.995,0.995,,0.995,0.0,1.0,,True,995,1000,1.0,5,1.0,complete,Baseline 4B — with manual,0,True,1000,3000,0.9974937343358395,0.005,,5,,rejudge_4B,0,0.0,True,1.0,Yes,0,0.0,0,0.0,Negative values mean Similar Tag cases were harder than Unrelated Tag cases.,0.005,0.005,1.0,5,,995,0.995,,-0.175,-0.175,,1000,1000,1000,"[0.9883490446266249, 0.9978624644726756]",0.0050000000000000044,,0.995,,,1000,995,,1000,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,1000,"[0.9883490446266249, 0.9978624644726756]",,1000,1.0,,0.995,0.995
baseline.robust_4B.with_manual,baseline,Round 2: Unrelated Tag,0.41,0.41,,-0.5900000000000001,1.0,0.0,,False,410,1000,1.0,590,1.0,complete,Baseline 4B — with manual,0,True,1000,3000,,,0.59,,590,rejudge_4B,0,0.0,True,1.0,No,0,0.0,0,1.0,Negative values mean Similar Tag cases were harder than Unrelated Tag cases.,0.41,0.41,0.0,410,,590,,,-0.175,-0.175,0.41,1000,1000,1000,"[0.3799172576460708, 0.4407715588813291]",,0.5900000000000001,,0.41,410,1000,,1000,,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,1000,"[0.3799172576460708, 0.4407715588813291]",,1000,1.0,,0.59,0.59
baseline.robust_4B.with_manual,baseline,Round 3: Similar Tag,0.235,0.235,,-0.765,1.0,0.0,,False,235,1000,1.0,765,1.0,complete,Baseline 4B — with manual,0,True,1000,3000,,,0.765,,765,rejudge_4B,0,0.0,True,1.0,No,0,0.0,0,1.0,Negative values mean Similar Tag cases were harder than Unrelated Tag cases.,0.235,0.235,0.0,235,,765,,,-0.175,-0.175,0.235,1000,1000,1000,"[0.20976558842625362, 0.2622625935710906]",,0.765,,0.235,235,1000,,1000,,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,1000,"[0.20976558842625362, 0.2622625935710906]",,1000,1.0,,0.765,0.765
