condition_id,family,strict_accuracy,valid_only_accuracy,balanced_accuracy,accuracy_minus_always_no,always_no_accuracy,always_yes_accuracy,assigned_tags_in_judge_prompt,balanced_accuracy_minus_chance,beats_always_no_strictly,binary_correct,binary_evaluable,binary_evaluable_coverage,binary_incorrect,completion_rate,completion_status,debater_model,direct_parse_accuracy,direct_parse_count,display_name,duplicate_exact_key_count,eligible_for_primary_ranking,expected_records,f1_yes,fallback_accuracy,fallback_count,fallback_rate_among_known,false_negative_rate,false_positive_rate,fn,fp,generation,invalid_prediction_count,invalid_prediction_rate,is_complete,judge_input_scope,judge_model,majority_class_accuracy,majority_class_label,manual_in_judge_prompt,metric_status,missing_prediction_count,missing_prediction_rate,missing_records,negative_predictive_value,no_prediction_rate,no_rate_among_valid_predictions,precision_yes,prediction_no,prediction_unknown,prediction_yes,sensitivity,source_files,specificity,stage_record_counts.Round 1: True Tag,stage_record_counts.Round 2: Unrelated Tag,stage_record_counts.Round 3: Similar Tag,strict_accuracy_confidence_interval_95,strict_false_negative_or_unresolved_rate,strict_false_positive_or_unresolved_rate,strict_sensitivity,strict_specificity,tn,total,tp,truth_no,truth_yes,unique_exact_key_count,unique_stage_pmid_count,unknown_handling,unknown_prediction_count,unknown_prediction_rate,unresolved_prediction,unresolved_truth_no,unresolved_truth_yes,unresolved_with_valid_truth,valid_binary_evaluable_count,valid_only_accuracy_confidence_interval_95,valid_only_balanced_accuracy,valid_prediction_count,valid_prediction_coverage,variant,yes_prediction_rate,yes_rate_among_valid_predictions
baseline.robust_4B.with_manual,baseline,0.5466666666666666,0.5466666666666666,0.65875,-0.12,0.6666666666666666,0.3333333333333333,True,0.15874999999999995,False,1640,3000,1.0,1360,1.0,complete,,0.9827856025039123,639,Baseline 4B — with manual,0,True,3000,0.5940298507462687,0.4286319356204998,2361,0.787,0.005,0.6775,5,1355,rejudge_4B,0,0.0,True,standard_experiment_input,Qwen3.5-4B,0.6666666666666666,No,True,computed,0,0.0,0,0.9923076923076923,0.21666666666666667,0.21666666666666667,0.42340425531914894,650,,2350,0.995,"[""baseline_withmanual_results_rejudge4B_full.json""]",0.3225,1000,1000,1000,"[0.5288044396391898, 0.5644095344797797]",0.0050000000000000044,0.6775,0.995,0.3225,645,3000,995,2000,1000,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,3000,"[0.5288044396391898, 0.5644095344797797]",0.65875,3000,1.0,,0.7833333333333333,0.7833333333333333
interactive.legacy_0.8B.ABA,interactive,0.10728910728910729,0.5695652173913044,0.16595927601809957,-0.07371007371007371,0.180999180999181,0.819000819000819,True,-0.33404072398190043,False,131,230,0.18837018837018837,99,0.407,partial_or_invalid,./Qwen3.5-2B,,0,Interactive ABA — legacy,0,False,3000,0.5991902834008097,,0,,0.5033557046979866,0.2962962962962963,75,24,legacy,0,0.0,False,standard_experiment_input,./Qwen3.5-0.8B,0.819000819000819,Yes,True,computed,0,0.0,1779,0.4318181818181818,0.10810810810810811,0.5739130434782609,0.7551020408163265,132,991,98,0.4966442953020134,"[""interactive_results_merged.json""]",0.7037037037037037,1000,221,,"[0.09114534605083664, 0.12589617953293356]",0.926,0.7420814479638009,0.074,0.2579185520361991,57,1221,74,221,1000,1221,1221,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,991,0.8116298116298116,991,140,851,991,230,"[0.5049502854458425, 0.6318945673077365]",0.6001739995028585,230,0.18837018837018837,ABA,0.08026208026208026,0.4260869565217391
interactive.rejudge_2B.ABA,interactive,0.7516666666666667,0.7516666666666667,0.72975,0.08500000000000008,0.6666666666666666,0.3333333333333333,False,0.22975,True,2255,3000,1.0,745,1.0,complete,Qwen3.5-2B,0.7516666666666667,3000,Interactive ABA — rejudged by 2B,0,True,3000,0.6406174626145682,,0,0.0,0.336,0.2045,336,409,rejudge_2B,0,0.0,True,standard_experiment_input,Qwen3.5-2B,0.6666666666666666,No,False,computed,0,0.0,0,0.8256357031655422,0.6423333333333333,0.6423333333333333,0.6188257222739981,1927,,1073,0.664,"[""interactive_results_full_rejudge2B.json""]",0.7955,1000,1000,1000,"[0.7358910707863104, 0.7667985753552755]",0.33599999999999997,0.20450000000000002,0.664,0.7955,1591,3000,664,2000,1000,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,3000,"[0.7358910707863104, 0.7667985753552755]",0.72975,3000,1.0,ABA,0.3576666666666667,0.3576666666666667
interactive.rejudge_2B.BAB,interactive,0.741,0.741,0.73875,0.07433333333333336,0.6666666666666666,0.3333333333333333,False,0.23875000000000002,True,2223,3000,1.0,777,1.0,complete,Qwen3.5-2B,0.741,3000,Interactive BAB — rejudged by 2B,0,True,3000,0.6532797858099063,,0,0.0,0.268,0.2545,268,509,rejudge_2B,0,0.0,True,standard_experiment_input,Qwen3.5-2B,0.6666666666666666,No,False,computed,0,0.0,0,0.8476407049459921,0.5863333333333334,0.5863333333333334,0.5898468976631749,1759,,1241,0.732,"[""interactive_results_full_rejudge2B.json""]",0.7455,1000,1000,1000,"[0.725022389130038, 0.756361205784355]",0.268,0.25449999999999995,0.732,0.7455,1491,3000,732,2000,1000,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,3000,"[0.725022389130038, 0.756361205784355]",0.73875,3000,1.0,BAB,0.4136666666666667,0.4136666666666667
interactive.robust_0.8B.ABA,interactive,0.5536666666666666,0.5536666666666666,0.6085,-0.11299999999999999,0.6666666666666666,0.3333333333333333,False,0.10850000000000004,False,1661,3000,1.0,1339,1.0,complete,./Qwen3.5-2B,0.75,792,Interactive ABA — 0.8B judge,0,True,3000,0.5358752166377816,0.4832427536231884,2208,0.736,0.227,0.556,227,1112,robust_0.8B,0,0.0,True,standard_experiment_input,./Qwen3.5-0.8B,0.6666666666666666,No,False,computed,0,0.0,0,0.7964125560538117,0.37166666666666665,0.37166666666666665,0.41007957559681696,1115,,1885,0.773,"[""interactive_results_full.json""]",0.444,1000,1000,1000,"[0.5358206994013304, 0.5713753708354845]",0.22699999999999998,0.556,0.773,0.444,888,3000,773,2000,1000,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,3000,"[0.5358206994013304, 0.5713753708354845]",0.6085,3000,1.0,ABA,0.6283333333333333,0.6283333333333333
interactive.robust_0.8B.BAB,interactive,0.5433333333333333,0.5433333333333333,0.60275,-0.1233333333333333,0.6666666666666666,0.3333333333333333,False,0.10275000000000001,False,1630,3000,1.0,1370,1.0,complete,./Qwen3.5-2B,0.7427466150870407,1034,Interactive BAB — 0.8B judge,0,True,3000,0.5327421555252387,0.43845371312309256,1966,0.6553333333333333,0.219,0.5755,219,1151,robust_0.8B,0,0.0,True,standard_experiment_input,./Qwen3.5-0.8B,0.6666666666666666,No,False,computed,0,0.0,0,0.7949438202247191,0.356,0.356,0.40424430641821946,1068,,1932,0.781,"[""interactive_results_full.json""]",0.4245,1000,1000,1000,"[0.5254646108925233, 0.5610912222179484]",0.21899999999999997,0.5755,0.781,0.4245,849,3000,781,2000,1000,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,3000,"[0.5254646108925233, 0.5610912222179484]",0.60275,3000,1.0,BAB,0.644,0.644
interactive.robust_0.8B.BAB_swapped_labels,interactive,0.546,0.546,0.60875,-0.12066666666666659,0.6666666666666666,0.3333333333333333,False,0.10875000000000001,False,1638,3000,1.0,1362,1.0,complete,./Qwen3.5-0.8B,0.7514851485148515,1010,Interactive BAB — displayed labels swapped,0,True,3000,0.5392422192151556,0.44170854271356785,1990,0.6633333333333333,0.203,0.5795,203,1159,swapped_labels,0,0.0,True,standard_experiment_input,./Qwen3.5-0.8B,0.6666666666666666,No,False,computed,0,0.0,0,0.8055555555555556,0.348,0.348,0.4074642126789366,1044,,1956,0.797,"[""interactive_results_BAB_swapped_labels_full.json""]",0.4205,1000,1000,1000,"[0.5281364096058271, 0.5637459363114431]",0.20299999999999996,0.5795,0.797,0.4205,841,3000,797,2000,1000,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,3000,"[0.5281364096058271, 0.5637459363114431]",0.60875,3000,1.0,BAB_swapped_labels,0.652,0.652
statement.legacy_0.8B,statement,0.1108843537414966,0.6626016260162602,0.14690425531914894,-0.208843537414966,0.3197278911564626,0.6802721088435374,True,-0.35309574468085103,False,163,246,0.1673469387755102,83,0.49,partial_or_invalid,./Qwen3.5-2B,,0,Statement — legacy,0,False,3000,0.5310734463276836,,0,,0.6016949152542372,0.09375,71,12,legacy,0,0.0,False,standard_experiment_input,./Qwen3.5-0.8B,0.6802721088435374,Yes,True,computed,0,0.0,1530,0.6203208556149733,0.1272108843537415,0.7601626016260162,0.7966101694915254,187,1224,59,0.3983050847457627,"[""statement_results_merged.json""]",0.90625,1000,470,,"[0.09583637631716321, 0.12796073350536777]",0.953,0.7531914893617021,0.047,0.24680851063829787,116,1470,47,470,1000,1470,1470,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,1224,0.8326530612244898,1224,342,882,1224,246,"[0.6014191023344266, 0.7187839591495135]",0.6522775423728814,246,0.1673469387755102,independent_statements,0.04013605442176871,0.23983739837398374
statement.older_pydantic_0.8B,statement,0.7463333333333333,0.7798676419366074,0.70825,0.07966666666666666,0.6666666666666666,0.3333333333333333,False,0.20825000000000005,True,2239,2871,0.957,632,1.0,complete,./Qwen3.5-2B,,0,Statement — older Pydantic,0,True,3000,0.6527472527472528,,0,,0.34796926454445665,0.16071428571428573,317,315,older_pydantic,0,0.0,True,standard_experiment_input,./Qwen3.5-0.8B,0.6666666666666666,No,False,computed,0,0.0,0,0.8384301732925586,0.654,0.6833855799373041,0.6534653465346535,1962,129,909,0.6520307354555434,"[""pydantic_statement_results_full.json""]",0.8392857142857143,1000,1000,1000,"[0.7304551891721756, 0.7615814313558138]",0.406,0.1775,0.594,0.8225,1645,3000,594,2000,1000,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,129,0.043,129,40,89,129,2871,"[0.764343211392901, 0.7946441355682134]",0.7456582248706288,2871,0.957,independent_statements,0.303,0.3166144200626959
statement.rejudge_2B,statement,0.795,0.795,0.7365,0.1283333333333334,0.6666666666666666,0.3333333333333333,False,0.23650000000000004,True,2385,3000,1.0,615,1.0,complete,Qwen3.5-2B,0.795,3000,Statement — rejudged by 2B,0,True,3000,0.6459412780656304,,0,0.0,0.439,0.088,439,176,rejudge_2B,0,0.0,True,standard_experiment_input,Qwen3.5-2B,0.6666666666666666,No,False,computed,0,0.0,0,0.8060097216084843,0.7543333333333333,0.7543333333333333,0.7611940298507462,2263,,737,0.561,"[""statement_results_full_rejudge2B.json""]",0.912,1000,1000,1000,"[0.7801810397122456, 0.8090644395398122]",0.43899999999999995,0.08799999999999997,0.561,0.912,1824,3000,561,2000,1000,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,3000,"[0.7801810397122456, 0.8090644395398122]",0.7365,3000,1.0,independent_statements,0.24566666666666667,0.24566666666666667
statement.robust_0.8B,statement,0.6566666666666666,0.6566666666666666,0.6725,-0.010000000000000009,0.6666666666666666,0.3333333333333333,False,0.1725,False,1970,3000,1.0,1030,1.0,complete,./Qwen3.5-2B,0.7595057034220533,2104,Statement — 0.8B judge,0,True,3000,0.582995951417004,0.41517857142857145,896,0.2986666666666667,0.28,0.375,280,750,robust_0.8B,0,0.0,True,standard_experiment_input,./Qwen3.5-0.8B,0.6666666666666666,No,False,computed,0,0.0,0,0.8169934640522876,0.51,0.51,0.4897959183673469,1530,,1470,0.72,"[""statement_results_full.json""]",0.625,1000,1000,1000,"[0.6394850389786642, 0.6734475884207336]",0.28,0.375,0.72,0.625,1250,3000,720,2000,1000,3000,3000,Strict accuracy and balanced accuracy count unresolved predictions as failures; valid-only metrics exclude them.,0,0.0,0,,,,3000,"[0.6394850389786642, 0.6734475884207336]",0.6725,3000,1.0,independent_statements,0.49,0.49
